p,q,r,A1,L1,A2,L2,A3,L3
9,9,2,0.010486727,599,0.289488854,621,0.01170826,642
9,2,3,0.299931384,593,0.086774701,621,0.351908793,649
9,3,3,0.198668012,597,0.123727289,621,0.201313189,645
9,4,3,0.117623491,599,0.164330493,621,0.136789578,641
9,5,3,0.089558311,601,0.202784765,621,0.086155543,640
9,6,3,0.056278335,602,0.234452417,621,0.060629017,638
9,7,3,0.036635851,603,0.257732748,621,0.037105384,638
9,8,3,0.02304928,603,0.273501961,621,0.02710332,637
9,9,3,0.014037966,604,0.283618644,621,0.018269388,637
9,2,4,0.344694315,595,0.060687806,621,0.348767926,646
9,3,4,0.209006612,599,0.090786894,621,0.257811672,641
9,4,4,0.157290139,602,0.127921434,621,0.206915768,638
9,5,4,0.1123381,604,0.168032749,621,0.136772587,636
9,6,4,0.068369661,606,0.205573733,621,0.080109449,634
9,7,4,0.048872595,606,0.236312981,621,0.054845803,634
9,8,4,0.035493699,607,0.258883823,621,0.040710245,633
9,9,4,0.024299465,607,0.274187876,621,0.027227325,633
9,2,5,0.321915859,597,0.039945767,621,0.442079239,645
9,3,5,0.288111763,601,0.062290293,621,0.285828697,639
9,4,5,0.199426724,604,0.092756807,621,0.251281413,636
9,5,5,0.129094666,606,0.130027329,621,0.162618501,633
9,6,5,0.11394154,608,0.169963658,621,0.124868669,632
9,7,5,0.077900178,609,0.20710823,621,0.085983054,631
9,8,5,0.045758708,609,0.237402433,621,0.061513327,630
9,9,5,0.037357317,610,0.25960008,621,0.042988916,630
9,2,6,0.315533584,598,0.025198903,621,0.457730243,644
9,3,6,0.308016944,602,0.040548868,621,0.360555759,638
9,4,6,0.208012333,606,0.06316978,621,0.255051018,634
9,5,6,0.201053611,608,0.09392987,621,0.222369234,632
9,6,6,0.125756521,610,0.131413823,621,0.170800252,630
9,7,6,0.099504929,611,0.171383865,621,0.123078175,629
9,8,6,0.071019469,611,0.208366227,621,0.092315208,628
9,9,6,0.056286618,612,0.238383903,621,0.065370623,627
9,2,7,0.414470171,598,0.015474425,621,0.508033279,643
9,3,7,0.339399621,603,0.025453831,621,0.340449117,638
9,4,7,0.249778478,606,0.04100598,621,0.289081975,634
9,5,7,0.234043877,609,0.063960304,621,0.259900033,631
9,6,7,0.168400804,611,0.095186649,621,0.210331159,629
9,7,7,0.147403949,612,0.133157332,621,0.14773257,627
9,8,7,0.104276348,613,0.173418717,621,0.12122511,627
9,9,7,0.079332724,613,0.210351235,621,0.105079373,626
9,2,8,0.336347768,598,0.009354209,621,0.471818242,643
9,3,8,0.328589986,603,0.015621344,621,0.426368517,637
9,4,8,0.301438641,607,0.02578027,621,0.357251591,633
9,5,8,0.213531975,609,0.041716534,621,0.296642013,630
9,6,8,0.197688398,611,0.065401098,621,0.251771408,628
9,7,8,0.170623096,613,0.097759281,621,0.194182678,627
9,8,8,0.130782954,614,0.137002383,621,0.161881707,626
9,9,8,0.109365168,614,0.178093329,621,0.146757617,625
10,2,2,0.170217387,589,0.070387809,622,0.183559762,653
10,3,2,0.106742776,593,0.095672692,621,0.123360827,649
10,4,2,0.067223608,595,0.121436873,621,0.066615563,647
10,5,2,0.035678356,597,0.143251251,621,0.046451922,645
10,6,2,0.021109129,597,0.159489729,621,0.028649667,644
10,7,2,0.016411354,598,0.170522883,621,0.018448183,643
10,8,2,0.009301447,598,0.177594124,621,0.01177539,643
10,9,2,0.006409539,599,0.18196926,621,0.007306358,643
10,2,3,0.206118809,593,0.052164432,621,0.252774554,649
10,3,3,0.129600039,597,0.075019483,621,0.135438206,644
10,4,3,0.073413302,599,0.100559296,621,0.088467922,641
10,5,3,0.055338765,601,0.125149449,621,0.053965984,640
10,6,3,0.034350135,602,0.145685747,621,0.037673609,638
10,7,3,0.022205686,603,0.16094337,621,0.022826341,638
10,8,3,0.013906279,603,0.171353769,621,0.016593638,637
10,9,3,0.008430953,604,0.178064032,621,0.011152596,637
10,2,4,0.231158164,595,0.036259812,621,0.249139846,646
10,3,4,0.132574098,599,0.05463222,621,0.173038375,641
10,4,4,0.097960589,602,0.077643646,621,0.133381703,638
10,5,4,0.068942622,604,0.102917148,621,0.085659436,636
10,6,4,0.041495853,606,0.126953775,621,0.049354843,634
10,7,4,0.029404416,606,0.146903921,621,0.033399237,634
10,8,4,0.021263539,607,0.161703099,621,0.024665454,633
10,9,4,0.014506547,607,0.17180873,621,0.016427404,633
10,2,5,0.218348781,597,0.023748466,621,0.305435279,645
10,3,5,0.186033847,601,0.037233706,621,0.191522618,639
10,4,5,0.124631559,604,0.055847342,621,0.16148702,636
10,5,5,0.078947617,606,0.078965622,621,0.102203445,633
10,6,5,0.06948556,608,0.104151243,621,0.07693925,632
10,7,5,0.046991477,609,0.127950209,621,0.052336545,631
10,8,5,0.027331994,609,0.147620108,621,0.03716552,630
10,9,5,0.022257398,610,0.162178004,621,0.02582165,630
10,2,6,0.212847134,598,0.014927432,621,0.314107164,644
10,3,6,0.198383763,602,0.024111693,621,0.243256639,638
10,4,6,0.131196802,606,0.037769799,621,0.165148882,634
10,5,6,0.125232311,608,0.056573672,621,0.140088638,632
10,6,6,0.076806942,610,0.079839835,621,0.106051509,630
10,7,6,0.060215249,611,0.105063349,621,0.075235358,629
10,8,6,0.042552695,611,0.128771379,621,0.055935775,628
10,9,6,0.033608793,612,0.14826896,621,0.039284521,627
10,2,7,0.27790295,598,0.009144834,621,0.360159102,643
10,3,7,0.221939556,603,0.015080036,621,0.221457628,638
10,4,7,0.156715025,606,0.024387756,621,0.184630237,634
10,5,7,0.146702258,609,0.038253014,621,0.164575657,631
10,6,7,0.103712458,611,0.057353736,621,0.131228054,629
10,7,7,0.090036907,612,0.080941177,621,0.090861524,627
10,8,7,0.062993888,613,0.106371777,621,0.073676093,627
10,9,7,0.047542146,613,0.130067992,621,0.063586584,626
10,2,8,0.217927747,598,0.005519593,621,0.321611104,643
10,3,8,0.211201102,603,0.009232375,621,0.288185193,637
10,4,8,0.19293112,607,0.015275631,621,0.23384829,633
10,5,8,0.132126668,609,0.024816929,621,0.190155375,630
10,6,8,0.121806983,611,0.039133081,621,0.158716004,628
10,7,8,0.104785168,613,0.05894842,621,0.120007322,627
10,8,8,0.079479608,614,0.083365932,621,0.099155479,626
10,9,8,0.065954376,614,0.109371651,621,0.089544773,625
